Id,Author,Author ID,Gender,Born,Birth Country,Country1_ID,Country2_ID,Job1_ID,Job2_ID
1,Albert Einstein,1,M,1879,Germany,6,15,17,24
2,Alexandre Dumas fils,2,M,1824,France,5,0,4,18
3,Alfred Tennyson,3,M,1809,United Kingdom,14,0,19,0
4,Allen Saunders,4,M,1899,United States,15,0,4,5
5,Andre Gide,5,M,1869,France,5,0,4,0
6,Ayn Rand,6,F,1905,Russia,12,15,4,15
7,Bob Marley,7,M,1945,Jamaica,8,15,12,26
8,C.S. Lewis,8,M,1898,United Kingdom,14,0,4,27
9,Charles Bukowski,9,M,1920,Germany,6,15,19,4
10,Charles M. Schulz,10,M,1922,United States,15,0,5,0
11,Douglas Adams,11,M,1952,United States,15,0,4,0
12,Dr. Seuss,12,M,1904,United States,15,0,4,8
13,E.E. Cummings,13,M,1894,United States,15,0,19,14
14,Eleanor Roosevelt,14,F,1884,United States,15,0,7,20
15,Elie Wiesel,15,M,1928,Romania,11,15,4,20
16,Ernest Hemingway,16,M,1899,United States,15,15,4,0
17,Friedrich Nietzsche,17,M,1884,Germany,6,6,15,0
18,Garrison Keillor,18,M,1942,United States,15,0,4,23
19,George Bernard Shaw,19,M,1856,Ireland,7,15,18,20
20,George Carlin,20,M,1937,United States,15,0,6,1
21,George Eliot,21,F,1819,United Kingdom,14,0,4,19
22,George R.R. Martin,22,M,1948,United States,15,0,4,0
23,Harper Lee,23,F,1926,United States,15,0,4,0
24,Haruki Murakami,24,M,1949,Japan,9,0,4,0
25,Helen Keller,25,F,1880,United States,15,0,4,20
26,J.D. Salinger,26,M,1919,United States,15,0,4,0
27,J.K. Rowling,27,F,1965,United Kingdom,14,0,4,0
28,J.M. Barrie,28,M,1860,United Kingdom,14,0,4,0
29,J.R.R. Tolkien,29,M,1892,South Africa,13,14,4,19
30,James Baldwin,30,M,1924,United States,15,5,4,18
31,Jane Austen,31,F,1775,United Kingdom,14,0,4,0
32,Jim Henson,32,M,1936,United States,15,0,22,2
33,Jimi Hendrix,33,M,1942,United States,15,0,12,26
34,John Lennon,34,M,1940,United Kingdom,14,15,25,26
35,Jorge Luis Borges,35,M,1899,Argentina,2,13,4,19
36,Khaled Hosseini,36,M,1965,Afghanistan,1,15,4,16
37,Madeleine L'Engle,37,F,1918,United States,15,0,4,19
38,Marilyn Monroe,38,F,1926,United States,15,0,1,11
39,Mark Twain,39,M,1835,United States,15,0,4,0
40,Martin Luther King Jr.,40,M,1929,United States,15,0,21,0
41,Mother Teresa,41,F,1910,Macedonia,10,6,13,10
42,Pablo Neruda,42,M,1904,Chile,4,0,19,7
43,Ralph Waldo Emerson,43,M,1803,United States,15,0,19,15
44,Stephenie Meyer,44,F,1973,United States,15,0,4,0
45,Steve Martin,45,M,1945,United States,15,0,1,6
46,Suzanne Collins,46,F,1962,United States,15,0,1,0
47,Terry Pratchett,47,M,1948,United Kingdom,14,0,4,0
48,Thomas A. Edison,48,M,1847,United States,15,0,9,0
49,W.C. Fields,49,M,1880,United States,15,0,1,6
50,William Nicholson,50,M,1872,United Kingdom,14,0,3,14
51,Theodor Herzl,51,M,1869,Austria,3,0,4,20
